year,country,purpose,mode,duration,age,visits_thousands,nights_thousands,expenditure_millions,cluster_group
2003,USA,VFR,Air,15+ nights,45-54,0.77,7.88,0.2,smaller spenders
2003,USA,VFR,Air,15+ nights,65+,0.54,5.76,0.15,smaller spenders
2003,USA,Other,Air,1-3 nights,16-24,0.33,0.63,0.02,smaller spenders
2003,USA,Holiday,Air,1-3 nights,55-64,0.8,2.43,0.13,smaller spenders
2003,USA,Holiday,Air,1-3 nights,65+,0.22,0.22,0.01,smaller spenders
2003,USA,Holiday,Air,4-7 nights,0-15,1.2,8.37,0.77,smaller spenders
2003,USA,Holiday,Air,4-7 nights,16-24,3.24,19.02,1.47,smaller spenders
2003,USA,Holiday,Air,4-7 nights,25-34,2.27,11.2,0.93,smaller spenders
2003,USA,Holiday,Air,4-7 nights,35-44,0.87,5.59,0.51,smaller spenders
2003,USA,Holiday,Air,4-7 nights,45-54,2.53,12.6,0.53,smaller spenders
2003,USA,Holiday,Air,4-7 nights,55-64,1.45,9.33,0.75,smaller spenders
2003,USA,Holiday,Air,4-7 nights,65+,3.25,20.49,1.52,smaller spenders
2003,USA,Holiday,Air,8-14 nights,0-15,1.06,6.22,0.5,smaller spenders
2003,USA,Holiday,Air,8-14 nights,16-24,3.8,19.52,3.36,medium spenders
2003,USA,Holiday,Air,8-14 nights,25-34,3.66,21.15,2.3,smaller spenders
2003,USA,Holiday,Air,8-14 nights,35-44,5.37,38.45,2.82,medium spenders
2003,USA,Holiday,Air,8-14 nights,45-54,9.94,45.22,4.03,medium spenders
2003,USA,Holiday,Air,8-14 nights,55-64,4.07,37.42,3.55,medium spenders
2003,USA,Holiday,Air,8-14 nights,65+,4.17,30.46,3.54,medium spenders
2003,USA,Holiday,Air,15+ nights,0-15,0.49,7.45,0.31,smaller spenders
2003,USA,Holiday,Air,15+ nights,25-34,0.3,2.1,0.05,smaller spenders
2003,USA,Holiday,Air,15+ nights,35-44,1.29,3.88,0.13,smaller spenders
2003,USA,Holiday,Air,15+ nights,45-54,2.15,25.56,3.01,smaller spenders
2003,USA,Holiday,Air,15+ nights,55-64,3.31,42.03,2.62,smaller spenders
2003,USA,Holiday,Air,15+ nights,65+,2.08,16.29,0.97,smaller spenders
2003,USA,Holiday,Sea,4-7 nights,16-24,2.21,8.19,0.26,smaller spenders
2003,USA,Holiday,Sea,4-7 nights,25-34,2.67,8,0.2,smaller spenders
2003,USA,Holiday,Sea,4-7 nights,45-54,1.34,4,0.04,smaller spenders
2003,USA,Holiday,Sea,4-7 nights,55-64,1.34,4,0.33,smaller spenders
2003,USA,Holiday,Sea,8-14 nights,55-64,0.64,0.91,0.08,smaller spenders
2003,USA,Holiday,Tunnel,15+ nights,35-44,0.13,0.85,0.03,smaller spenders
2003,USA,Business,Air,1-3 nights,25-34,0.37,0.75,0.18,smaller spenders
2003,USA,Business,Air,1-3 nights,45-54,0.42,0.42,0.08,smaller spenders
2003,USA,Business,Air,4-7 nights,25-34,0.22,0.9,0.01,smaller spenders
2003,USA,Business,Air,4-7 nights,35-44,2.27,9.81,1.88,smaller spenders
2003,USA,Business,Air,4-7 nights,45-54,1.42,2.5,0.6,smaller spenders
2003,USA,Business,Air,4-7 nights,55-64,1.18,5.92,2.82,smaller spenders
2003,USA,Business,Air,8-14 nights,35-44,0.22,0.22,0.01,smaller spenders
2003,USA,Business,Air,8-14 nights,45-54,0.7,1.43,0.15,smaller spenders
2003,USA,Business,Air,8-14 nights,55-64,1,7.11,0.64,smaller spenders
2003,USA,Business,Air,15+ nights,35-44,1.22,19.74,6.29,smaller spenders
2003,USA,VFR,Air,1-3 nights,35-44,0.37,1.09,0.06,smaller spenders
2003,USA,VFR,Air,1-3 nights,45-54,0.44,0.44,0.04,smaller spenders
2003,USA,VFR,Air,4-7 nights,25-34,1.4,6.96,0.49,smaller spenders
